Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Legal Business Name,Doing Business As (DBA),Building Number,Street,Borough,Postcode,Business Address,Sidewalk Dimensions (Area),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,Landmark District or Building,landmarkDistrict_terms,Latitude,Longitude,NTA
both,Asian Kabab and Curry,Asian Kabab and Curry Inc,Asian Kabab and Curry Inc,496,Crescent,Brooklyn,11208,"496 Crescent, Brooklyn, NY",60,60,yes,yes,no,no,,,,
both,35-09 Ditmars Bagel Corp,35-09 Ditmars Bagel Corp,Brooklyn Bagel & Coffee Company,35-09,Ditmars Blvd,Queens,11105,"35-09 Ditmars Blvd, Queens, NY",40,160,yes,yes,no,no,,40.774763,-73.908748,Steinway
sidewalk,OSTERIA CARLINA,SAN CARLINO LLC,OSTERIA CARLINA,undefined,455 HUDSON STREET,Manhattan,10014,"455 HUDSON STREET, Manhattan, NY",102,,yes,no,yes,yes,yes,40.731281,-74.006697,West Village
sidewalk,718 BISTRO,718 BISTRO INC,718 BISTRO,undefined,360 NEPTUNE AVENUE,Brooklyn,11235,"360 NEPTUNE AVENUE, Brooklyn, NY",1000,,yes,no,no,no,,40.580651,-73.966074,Brighton Beach
roadway,GREEDY POT,"SEREENA, S BENJAMIN  KEVIN, A, MORRISON",GREEDY POT,undefined,1944 ADAM CLAYTON POWELL JR BOULEVARD,Manhattan,10026,"1944 ADAM CLAYTON POWELL JR BOULEVARD, Manhattan, NY",,84,no,yes,no,no,,40.804092,-73.951905,Central Harlem South
both,Il Bel Paese Pizzeria & Trattoria,Amici Italian Foods INC,Il Bel Paese Pizzeria & Trattoria,305,Knickerbocker Avenue,Brooklyn,11237,"305 Knickerbocker Avenue , Brooklyn, NY",100,200,yes,yes,no,no,,40.701684,-73.923383,Bushwick North
both,BROOKLYN HERO SHOP,VITO RANDAZZO,BROOKLYN HERO SHOP,undefined,270 VANDERBILT AVENUE,Brooklyn,11205,"270 VANDERBILT AVENUE, Brooklyn, NY",180,200,yes,yes,no,yes,yes,40.689099,-73.96904,Clinton Hill
sidewalk,Seasoned Vegan,"Seasoned Vegan, LLC","Seasoned Vegan, LLC",55,St. Nicholas Avenue,Manhattan,10026,"55 St. Nicholas Avenue, Manhattan, NY",141,,yes,no,yes,no,,40.8005,-73.952507,Central Harlem South
both,Black Star Bakery &amp; Kitchen,DAN MAGOR,Black Star Bakery & Kitchen,undefined,1001 50TH AVE,Queens,11101,"1001 50TH AVE, Queens, NY",420,280,yes,yes,no,no,,40.742732,-73.954075,Hunters Point-Sunnyside-West Maspeth
both,LA PULPERIA 44,LOTUS WEST CORP,LA PULPERIA 44,623,9TH AVE,Manhattan,10036,"623 9TH AVE, Manhattan, NY",320,640,yes,yes,no,no,,40.759829,-73.991626,Clinton
both,TACO BELL,230 VARICK TACO BELL LLC,TACO BELL,undefined,230 VARICK STREET,Manhattan,10014,"230 VARICK STREET, Manhattan, NY",330,264,yes,yes,no,no,,40.729206,-74.005214,West Village
both,Juices for life,3463 juices for life,3463 juices for life,3463,East Fremont ave,Bronx,10465,"3463 East Fremont ave, Bronx, NY",160,160,yes,yes,no,no,,,,
roadway,MAREZZATA,"GLOBAL NIPPA USA, INC.",MAREZZATA,undefined,231 EAST   50 STREET,Manhattan,10022,"231 EAST   50 STREET, Manhattan, NY",,1200,no,yes,no,no,,40.755486,-73.96994,Turtle Bay-East Midtown
roadway,JUYOU LOU,NY HAPPY FAMILY  INC,JUYOU LOU,undefined,135-29 40 ROAD,Queens,11354,"135-29 40 ROAD, Queens, NY",,208,no,yes,no,no,,,,
sidewalk,DOMINIQUE ANSEL BAKERY,INTERNATIONAL PASTRY CONCEPTS LLC,DOMINIQUE ANSEL BAKERY,undefined,189 SPRING STREET,Manhattan,10012,"189 SPRING STREET, Manhattan, NY",80,,yes,no,no,no,,40.725073,-74.002994,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,LE PAIN QUOTIDIEN,"APQ BLEECKER NY, LLC",LE PAIN QUOTIDIEN,undefined,65 BLEECKER STREET,Manhattan,10012,"65 BLEECKER STREET, Manhattan, NY",100,,yes,no,no,no,,40.726204,-73.995173,West Village
roadway,FRIENDSHIP FOODS ONE INC,FRIENDSHIP FOODS ONE INC,FRIENDSHIP FOODS ONE INC,103,BOWERY,Manhattan,10002,"103 BOWERY, Manhattan, NY",,200,no,yes,no,no,,40.717659,-73.995217,Chinatown
sidewalk,Gramercy Bagels,KNL Green Food Inc,KNL Green Food Inc,246,246 3rd ave,Manhattan,10010,"246 246 3rd ave, Manhattan, NY",45,,yes,no,no,no,,,,
both,Le Pain Quotidien Soho,"APQ Soho NY, LLC",Le Pain Quotidien,100,Grand Street,Manhattan,10013,"100 Grand Street , Manhattan, NY",150,400,yes,yes,no,no,,40.721389,-74.00171,SoHo-TriBeCa-Civic Center-Little Italy
roadway,JUST SALAD,JUST SALAD 663 LEX LLC,"Just Salad 663 Lex, LLC",undefined,663 LEXINGTON AVENUE,Manhattan,10022,"663 LEXINGTON AVENUE, Manhattan, NY",,70,no,yes,no,no,,40.759861,-73.969895,Turtle Bay-East Midtown
both,AGAVE,"FOUR GREEN FIELDS, LLC",AGAVE,undefined,140 7 AVENUE SOUTH,Manhattan,10014,"140 7 AVENUE SOUTH, Manhattan, NY",530,416,yes,yes,yes,no,,40.734734,-74.002176,West Village
sidewalk,mcdonalds,5404 myrtle corp,5404 myrtle corp,54-05,myrtle ave,Queens,11385,"54-05 myrtle ave, Queens, NY",225,,yes,no,no,no,,40.699583,-73.910737,Ridgewood
sidewalk,ZEFES MEXICAN RESTAURANT,ZEFE LLC,Zefe's,undefined,1224 MYRTLE AVENUE,Brooklyn,11221,"1224 MYRTLE AVENUE, Brooklyn, NY",960,,yes,no,yes,no,,40.697444,-73.928952,Bushwick South
both,SIPPY CAFE,JCW ESTABLISHMENT LLC,SIPPY CAFE,undefined,200 FRANKLIN STREET,Brooklyn,11222,"200 FRANKLIN STREET, Brooklyn, NY",36,104,yes,yes,no,no,,40.732328,-73.957982,Greenpoint
roadway,Padishah Restaurant,Padishah Corp.,Padishah Corp.,1920,1920 Ave U,Brooklyn,11229,"1920  1920 Ave U, Brooklyn, NY",,152,no,yes,no,no,,,,
both,MAD FOR CHICKEN FOREST HILLS,MFC FOREST HILLS LLC,MAD FOR CHICKEN FOREST HILLS,undefined,7137 AUSTIN ST,Queens,11375,"7137 AUSTIN ST, Queens, NY",115,232,yes,yes,yes,no,,40.719691,-73.84347,Forest Hills
roadway,RISTORANTE SETTEPANI,BRUNO IN HARLEM INC.,RISTORANTE SETTEPANI,undefined,196 LENOX AVENUE,Manhattan,10026,"196 LENOX AVENUE, Manhattan, NY",,376,no,yes,yes,yes,yes,40.804442,-73.947906,Central Harlem South
sidewalk,Le Pain Quotidien Lincoln Sq,"APQ Lincoln Square NY, LLC",Le Pain Quotidien,60,W 65th St,Manhattan,10023,"60 W 65th St, Manhattan, NY",75,,yes,no,no,no,,40.772468,-73.980851,Lincoln Square
sidewalk,HUNGRY GHOST,HUNGRY GHOST BLEECKER LLC,HUNGRY GHOST,undefined,315 BLEECKER STREET,Manhattan,10014,"315 BLEECKER STREET, Manhattan, NY",200,,yes,no,no,yes,yes,40.732829,-74.003911,West Village
sidewalk,GYRO KING,GYRO KING FOODS CORP,GYRO KING,50,EAST FORDHAM RD.,Bronx,10468,"50 EAST FORDHAM RD., Bronx, NY",120,,yes,no,no,no,,40.862447,-73.90024,Fordham South
roadway,BLUE RIBBON SUSHI,FLEXIBLE FISH CORP,BLUE RIBBON SUSHI,undefined,119 SULLIVAN STREET,Manhattan,10012,"119 SULLIVAN STREET, Manhattan, NY",,224,no,yes,yes,no,,40.726061,-74.002695,SoHo-TriBeCa-Civic Center-Little Italy
roadway,VEGETARIAN DIM SUM HOUSE,28 VEGETARIAN DIM SUM REST. INC,VEGETARIAN DIM SUM HOUSE,undefined,24 PELL STREET,Manhattan,10013,"24 PELL STREET, Manhattan, NY",,120,no,yes,no,no,,40.714862,-73.998186,Chinatown
sidewalk,SUGI SUSHI,SUGI SUSHI INC,Oishi,undefined,3799 EAST TREMONT AVENUE,Bronx,10465,"3799 EAST TREMONT AVENUE, Bronx, NY",336,,yes,no,yes,no,,40.825056,-73.820545,Schuylerville-Throgs Neck-Edgewater Park
sidewalk,LA PULPERIA 44,LOTUS WEST CORP,LOTUS WEST CORP,623,9TH AVE,Manhattan,10036,"623  9TH AVE, Manhattan, NY",140,,yes,no,no,no,,40.759829,-73.991626,Clinton
both,Blendzville Cafe Inc,Blendzville Cafe Inc,Blendzville Cafe Inc,5,Sutter ave,Brooklyn,11212,"5 Sutter ave, Brooklyn, NY",64,128,yes,yes,no,no,,40.665274,-73.922905,Brownsville
roadway,TIGER BOX,TIGER BOX INC.,TIGER BOX,undefined,169 PARK AVENUE,Brooklyn,11205,"169 PARK AVENUE, Brooklyn, NY",,120,no,yes,no,no,,40.696222,-73.972693,Fort Greene
both,RICE TO RICHES,"RICE TO RICHES, INC.",RICE TO RICHES,undefined,37 SPRING STREET,Manhattan,10012,"37 SPRING STREET, Manhattan, NY",160,120,yes,yes,no,no,,40.721779,-73.99583,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,El Nuevo Carribeno,El Nuevo Carribeno Inc.,El Nuevo Carribeno Inc.,1675,Lexington Avenue,Manhattan,10029,"1675 Lexington Avenue , Manhattan, NY",396,,yes,no,yes,yes,yes,40.79167,-73.946688,East Harlem South
both,Asian Kabab and Curry,Asian Kabab and Curry Inc,Asian Kabab and Curry Inc,496,Crescent Ave,Brooklyn,11208,"496  Crescent Ave, Brooklyn, NY",60,90,yes,yes,no,no,,,,
both,PARIS BAGUETTE,EAST COAST PB INC,PARIS BAGUETTE,undefined,2220 31ST ST,Queens,11105,"2220 31ST ST, Queens, NY",160,160,yes,yes,no,no,,40.775783,-73.911137,Steinway
both,Upi Jaya,Upi Yuliastuti Restaurant Inc,Upi Yuliastuti Restaurant Inc,7604,Woodside Ave,Queens,11373,"7604  Woodside Ave, Queens, NY",126,128,yes,yes,no,no,,40.74342,-73.888712,Elmhurst-Maspeth
both,TRAILER PARK LOUNGE,ZENITH CORPORATION,TRAILER PARK LOUNGE,undefined,271 WEST   23 STREET,Manhattan,10011,"271 WEST   23 STREET, Manhattan, NY",336,192,yes,yes,yes,no,,40.744882,-73.997488,Hudson Yards-Chelsea-Flatiron-Union Square
both,BEST PIZZA SHOP,PIZZA SHOP BY GASTROTECA LLC,BEST PIZZA SHOP,undefined,32-20 34 AVENUE,Queens,11106,"32-20 34 AVENUE, Queens, NY",75,50,yes,yes,no,no,,40.75918,-73.926226,Astoria
sidewalk,MARIA ON THE GRILL INC,MARIA ON THE GRILL INC,MARIA ON THE GRILL,2678,PITKIN AVENUE,Brooklyn,11208,"2678 PITKIN AVENUE, Brooklyn, NY",120,,yes,no,no,no,,40.67521,-73.873208,East New York
both,Le Pain Quotidien First Ave and 68th,"APQ First Avenue NY, LLC",Le Pain Quotidien,1270,First Ave,Manhattan,10065,"1270  First Ave, Manhattan, NY",90,240,yes,yes,no,no,,40.765465,-73.957694,Lenox Hill-Roosevelt Island
sidewalk,Talia's Restaurant Group LLC,Talia's Restaurant Group LLC,Talia's Steakhouse & Bar,668,Amsterdam Avenue,Manhattan,10025,"668 Amsterdam Avenue, Manhattan, NY",378,,yes,no,yes,no,,40.79186,-73.971979,Upper West Side
both,Le Pain Quotidien - Bryant Park,APQ Bryant Park NY LLC,Le Pain Quotidien,70,West 40th Street,Manhattan,10018,"70 West 40th Street, Manhattan, NY",120,320,yes,yes,no,no,,40.753266,-73.984379,Midtown-Midtown South
both,KARIZMA LOUNGE CORP,KARIZMA LOUNGE CORP,KARIZMA LOUNGE CORP,244,EAST 51 STREET,Manhattan,10002,"244 EAST 51 STREET, Manhattan, NY",72,120,yes,yes,yes,no,,40.756005,-73.969276,Turtle Bay-East Midtown
both,Le Pain Quotidien 83rd Street,"APQ 1592 First Avenue NY, LLC",Le Pain Quotidien,1592,First Avenue,Manhattan,10028,"1592 First Avenue, Manhattan, NY",162,432,yes,yes,no,no,,40.774731,-73.95093,Yorkville
both,Kitsby Dessert Bar,Kitsby Cafe Inc,Kitsby Cafe Inc,186,Grand Street,Brooklyn,11211,"186 Grand Street, Brooklyn, NY",64,240,yes,yes,no,no,,40.714271,-73.96075,North Side-South Side
both,Lucky Seven Restaurant & Bar LLC,Lucky Seven Restaurant & Bar LLC,Lucky Seven Tapas Bar,1455,St Nicholas Avenue,Manhattan,10033,"1455  St Nicholas Avenue, Manhattan, NY",1380,920,yes,yes,yes,no,,40.850323,-73.933011,Washington Heights North
both,Olympia Wine Bar,54 Jay Street Partners LLC,Olympia Wine Bar,54,Jay Street,Brooklyn,11201,"54 Jay Street, Brooklyn, NY",50,120,yes,yes,yes,yes,yes,40.703265,-73.986648,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
sidewalk,Gregorys Coffee,Niko Coffee LLC,Niko Coffee LLC,58,West 44th,Manhattan,10036,"58 West 44th, Manhattan, NY",450,,yes,no,no,no,,,,
both,SPICE UP,BROTHERS USA INC,SPICE UP,1926D,CROSS BRONX EXPY,Bronx,10472,"1926D CROSS BRONX EXPY, Bronx, NY",144,192,yes,yes,no,no,,40.832647,-73.859433,Soundview-Bruckner
roadway,SUSHI SEKI,SEKI INC,SUSHI SEKI,undefined,208 WEST   23 STREET,Manhattan,10011,"208 WEST   23 STREET, Manhattan, NY",,352,no,yes,yes,no,,40.744338,-73.99624,Hudson Yards-Chelsea-Flatiron-Union Square
sidewalk,Marco Polo Pizza & Deli,Walter 8281 Corp.,Marco Polo Pizza & Deli,1289,Madison Avenue,Manhattan,10128,"1289 Madison Avenue, Manhattan, NY",250,,yes,no,no,no,,40.784485,-73.956155,Upper East Side-Carnegie Hill
both,Tel Aviv Cafe,HUKA TEL AVIV CORP,HUKA TEL AVIV CORP,1911,CONEY ISLAND AVE,Brooklyn,11230,"1911    CONEY ISLAND AVE, Brooklyn, NY",80,160,yes,yes,no,no,,40.610876,-73.962532,Midwood
both,Healthy Joe's,MMG Tribeca NY Inc.,Healthy Joe's,10,Murray street,Manhattan,10007,"10 Murray street, Manhattan, NY",280,160,yes,yes,no,no,,40.713298,-74.007773,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,PAULETTE &amp; DANNY JAMAICAN REST.,PAULETTE &amp; DANNY JAMAICAN WEST INDIES RESTAURANT INC,PAULETTE &amp; DANNY JAMAICAN REST.,undefined,2119 GRAND CONCOURSE,Bronx,10453,"2119 GRAND CONCOURSE, Bronx, NY",210,,yes,no,no,yes,yes,40.854489,-73.901955,Mount Hope
both,Taszo,Taszo Coffee LLC,Taszo,5,Edward M Morgan Place,Manhattan,10032,"5 Edward M Morgan Place, Manhattan, NY",390,312,yes,yes,yes,no,,40.834534,-73.9454,Washington Heights South
roadway,Zucker's Bagels Flatiron,Zucker's Flatiron LLC,Zucker's Bagels Flatiron,40,East 23rd street,Manhattan,10010,"40 East 23rd street, Manhattan, NY",,288,no,yes,no,no,,40.740646,-73.987474,Hudson Yards-Chelsea-Flatiron-Union Square
roadway,Bronx Ice Co,"Bronx Ice Co.,, LLC","Bronx Ice Co.,, LLC",1048,Manhattan ave,Brooklyn,11222,"1048 Manhattan ave, Brooklyn, NY",,112,no,yes,no,no,,40.734646,-73.954979,Greenpoint
roadway,QUALITY BISTRO,"FRENCH ONION SOUP, LLC",QUALITY BISTRO,undefined,1345 AVENUE OF THE AMERICAS,Manhattan,10105,"1345 AVENUE OF THE AMERICAS, Manhattan, NY",,800,no,yes,yes,no,,40.762605,-73.97846,Midtown-Midtown South
both,GYRO KING,GYRO KING FOODS CORP,GYRO KING,50,EAST FORDHAM RD,Bronx,10468,"50 EAST FORDHAM RD, Bronx, NY",280,448,yes,yes,no,no,,40.862447,-73.90024,Fordham South
roadway,BIRD &amp; BRANCH,CKY OCCASSIONS LLC,BIRD & BRANCH,undefined,359 WEST   45 STREET,Manhattan,10036,"359 WEST   45 STREET, Manhattan, NY",,192,no,yes,no,no,,40.759843,-73.98999,Clinton
both,Mazzola Bakery,HENRY STREET FOOD CORP.,Mazzola Bakery,undefined,529 HENRY STREET,Brooklyn,11231,"529 HENRY STREET, Brooklyn, NY",30,168,yes,yes,no,yes,yes,40.683624,-73.999643,Carroll Gardens-Columbia Street-Red Hook
sidewalk,SPIN,SPIN NYC LLC,SPIN,48,East 23rd Street,Manhattan,10010,"48 East 23rd Street, Manhattan, NY",72,,yes,no,no,no,,40.740599,-73.987359,Hudson Yards-Chelsea-Flatiron-Union Square
sidewalk,Qing Dao Restaurant,On & On 168 Inc.,On & On 168 Inc.,40-46,Main Street,Queens,11354,"40-46 Main Street, Queens, NY",64,,yes,no,no,no,,40.758477,-73.829611,Flushing
both,Le Pain Quotidien Tribeca,"APQ Tribeca NY, LLC",Le Pain Quotidien,81,West Broadway,Manhattan,10007,"81 West Broadway, Manhattan, NY",240,640,yes,yes,no,no,,40.71509,-74.009566,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,Ample Hills Creamery,Ample Hills Sub 5 LLC,Ample Hills Creamery,445,Gold St,Brooklyn,11201,"445 Gold St, Brooklyn, NY",100,,yes,no,no,no,,40.690833,-73.983452,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
roadway,Annapurna Thakali Kitchen Inc,Annapurna Thakali Kitchen Inc,Annapurna Thakali Kitchen Inc,72-24,Roosevelt Avenue,Queens,11372,"72-24 Roosevelt Avenue, Queens, NY",,160,no,yes,no,no,,40.746655,-73.893181,Elmhurst-Maspeth
roadway,Shabu Garden,20 west 33rd street corp.,Shabu Garden,24 w,33rd street,Manhattan,10001,"24 w 33rd street, Manhattan, NY",,176,no,yes,yes,no,,40.748213,-73.98612,Midtown-Midtown South
both,Momo Crave,Momo Crave LLC,Momo Crave LLC,3807,69th Street Woodside,Queens,11377,"3807  69th Street Woodside, Queens, NY",77,88,yes,yes,no,no,,,,
both,Sabor Andino,SABOR ANDINO #2 INC,SABOR ANDINO #2 INC,6314,14th Avenue,Brooklyn,11219,"6314  14th Avenue , Brooklyn, NY",408,192,yes,yes,yes,no,,40.625682,-73.998271,Dyker Heights
both,Le Pain Quotidien 53rd street,"APQ E53 NY, LLC",Le Pain Quotidien,7,E 53rd St,Manhattan,10022,"7 E 53rd St, Manhattan, NY",75,200,yes,yes,no,no,,40.760222,-73.975342,Midtown-Midtown South
both,Bilao Filipino Cuisine,Bilao INC,Bilao INC,1437,1st Ave,Manhattan,10021,"1437 1st Ave, Manhattan, NY",240,240,yes,yes,no,no,,40.7696,-73.954703,Lenox Hill-Roosevelt Island
sidewalk,Kame,Gen Kame Inc,Kame,330,8th AVE,Manhattan,10001,"330 8th AVE, Manhattan, NY",44,,yes,no,no,no,,40.747511,-73.996864,Midtown-Midtown South
roadway,KANA TAPAS BAR &amp; RESTAURANT,RIOMAR CORP.,KANA TAPAS BAR &amp; RESTAURANT,undefined,324 SPRING STREET,Manhattan,10013,"324 SPRING STREET, Manhattan, NY",,120,no,yes,yes,no,,40.726,-74.009301,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,Gregorys Coffee,649 Broadway Coffee and Bakery LLC,649 Broadway Coffee and Bakery LLC,649,Broadway,Manhattan,10012,"649 Broadway, Manhattan, NY",375,,yes,no,no,no,,40.726794,-73.995631,West Village
roadway,Grab & Go Cafe,Grab & Go Cafe,Grab & Go Cafe,475,60th Street,Brooklyn,11214,"475 60th Street, Brooklyn, NY",,96,no,yes,no,no,,40.63991,-74.016867,Sunset Park West
sidewalk,CIPRIANI 42ND STREET,"42ND STREET LESSEE, LLC",CIPRIANI 42ND STREET,undefined,110 EAST   42 STREET,Manhattan,10017,"110 EAST   42 STREET, Manhattan, NY",448,,yes,no,no,yes,yes,40.751807,-73.976944,Murray Hill-Kips Bay
both,Xi'an Famous Foods,Bei Yuan Men LLC,Xi'an Famous Foods,54,Willoughby,Brooklyn,11201,"54 Willoughby, Brooklyn, NY",42,112,yes,yes,no,no,,,,
both,The Dip,Minute Out Restaurant LLC,The Dip,58,St. Marks Pl.,Manhattan,10003,"58 St. Marks Pl., Manhattan, NY",36,112,yes,yes,no,no,,40.728157,-73.986654,East Village
sidewalk,Bayridge Sushi,"Bayridge Japanese Cuisine, Inc","Bayridge Japanese Cuisine, Inc",6914,3rd Ave,Brooklyn,11209,"6914  3rd Ave , Brooklyn, NY",200,,yes,no,yes,no,,40.635524,-74.026136,Bay Ridge
roadway,W's Bar and Restaurant LLC,W's Bar and Reataurant LLC,W's Bar and Reataurant LLC,7001 C,Amboy Road,Staten Island,10307,"7001 C  Amboy Road, Staten Island, NY",,1680,no,yes,yes,no,,40.51585,-74.233504,Charleston-Richmond Valley-Tottenville
openstreets,Don't Tell Mama,DTM PB CORP,Don't Tell Mama,343-345,West 46th Street,Manhattan,10036,"343-345 West 46th Street, Manhattan, NY",,,no,no,yes,no,,40.76034,-73.989196,Clinton
openstreets,RIVERCREST,RIVERCREST INC.,RIVERCREST,undefined,3315 DITMARS BLVD,Queens,11105,"3315 DITMARS BLVD, Queens, NY",,,no,no,yes,no,,40.775294,-73.909498,Steinway
both,Octavia Coffee,JILLIAN SCHIAVI,Octavia Coffee,undefined,198 COURT STREET,Brooklyn,11201,"198 COURT STREET, Brooklyn, NY",120,280,yes,yes,no,no,,40.687074,-73.993639,Carroll Gardens-Columbia Street-Red Hook
roadway,La Linea,Allegra Allegra Inc.,Allegra Allegra Inc. d/b/a La Linea,15,First Avenue,Manhattan,10003,"15 First Avenue, Manhattan, NY",,128,no,yes,yes,no,,40.72337,-73.988365,East Village
roadway,Mexicue,Mexicue,Mexicue,1440,Broadway,Manhattan,10018,"1440 Broadway, Manhattan, NY",,328,no,yes,yes,no,,40.754611,-73.986761,Midtown-Midtown South
sidewalk,The Coffee Bean &amp; Tea Leaves,"HUDSON RIVER COFFEE AND TEA, LLC",The Coffee Bean and Tea Leaf,undefined,5 GREENE AVENUE,Brooklyn,11238,"5 GREENE AVENUE, Brooklyn, NY",120,,yes,no,no,no,,40.685844,-73.972993,Fort Greene
both,POP & POUR,FRANCISCO & FRANCISCO INC DBA POP & POUR,POP & POUR,200-8,"200 Dyckman Street Frnt 8, Frnt 8",Manhattan,10040,"200-8 200 Dyckman Street Frnt 8, Frnt 8, Manhattan, NY",198,144,yes,yes,yes,no,,,,
sidewalk,NoMad,"SYMPATHY FOR THE DEVIL, LLC",NoMad,undefined,1170 BROADWAY,Manhattan,10001,"1170 BROADWAY, Manhattan, NY",720,,yes,no,yes,yes,yes,40.744996,-73.988773,Hudson Yards-Chelsea-Flatiron-Union Square
both,Tiberias,Sternbach holdings llc,Tiberias,45 E,34th st,Manhattan,10016,"45 E 34th st, Manhattan, NY",300,90,yes,yes,yes,no,,40.747573,-73.982482,Midtown-Midtown South
sidewalk,Kelly s,Sondra tesseyman,Kelly's Corp                      tesseyman,31-04,Crescent street,Queens,11106,"31-04 Crescent street, Queens, NY",100,,yes,no,yes,no,,40.765485,-73.926544,Astoria
roadway,JUICE GENERATION,JUICE GENERATION INC,JUICE GENERATION,undefined,210 BEDFORD AVENUE,Brooklyn,11249,"210 BEDFORD AVENUE, Brooklyn, NY",,136,no,yes,no,no,,40.71696,-73.958678,North Side-South Side
sidewalk,Oso,"Oso Hamilton Heights, LLC","Oso Hamilton Heights, LLC",1616,Amsterdam Ave,Manhattan,10031,"1616 Amsterdam Ave, Manhattan, NY",276,,yes,no,yes,no,,40.821836,-73.950107,Hamilton Heights
both,El Cantinero,Beau Maison Corp,El Cantinero,86,University Place,Manhattan,10003,"86 University Place, Manhattan, NY",192,192,yes,yes,yes,no,,40.733576,-73.993105,West Village
sidewalk,PLANET TACO,TACO AUTHORITY LLC,PLANET TACO,undefined,141 2 AVENUE,Manhattan,10003,"141 2 AVENUE, Manhattan, NY",180,,yes,no,no,no,,40.729019,-73.987379,East Village
both,El lider bar restaurant,El lider bar restaurant,El lider bar restaurant,4535,Park ave,Bronx,10457,"4535  Park ave , Bronx, NY",247,104,yes,yes,yes,no,,40.855498,-73.894857,Fordham South
sidewalk,STUMPTOWN COFFEE ROASTERS,STUMPTOWN COFFEE CORP,STUMPTOWN COFFEE ROASTERS,undefined,30 WEST    8 STREET,Manhattan,10011,"30 WEST    8 STREET, Manhattan, NY",1500,,yes,no,no,yes,yes,40.73275,-73.997546,West Village
sidewalk,ELI'S ESSENTIALS,EAT THIRD 79 LLC,ELI'S ESSENTIALS,1390,3RD AVE,Manhattan,10075,"1390  3RD AVE, Manhattan, NY",84,,yes,no,yes,no,,40.774391,-73.95723,Upper East Side-Carnegie Hill
